Epoch	TrainLoss	SupLoss	ConsisLoss	TrainAcc	ValAcc	ValLoss	LR
1	4.1396	2.6560	1.4836	0.0000	0.0000	7.4346	1.00e-03
2	2.3324	1.2655	1.0668	0.0000	0.0000	7.6169	1.00e-03
3	2.0835	1.0943	0.9892	0.0000	0.0000	6.0493	1.00e-03
4	1.3642	0.7838	0.5804	0.7500	0.7059	1.1746	1.00e-03
5	0.8679	0.6975	0.1704	0.7500	0.7059	0.8235	1.00e-03
6	0.6769	0.6149	0.0620	0.7500	0.7059	0.7794	1.00e-03
7	0.7484	0.7200	0.0284	0.7500	0.7059	0.7449	1.00e-03
8	0.6735	0.6572	0.0164	0.7500	0.7059	0.7136	1.00e-03
9	0.6105	0.6011	0.0095	0.7500	0.7059	0.6854	1.00e-03
10	0.6815	0.6725	0.0090	0.7500	0.7059	0.6731	1.00e-03
11	0.5390	0.5320	0.0070	0.7500	0.7059	0.6544	1.00e-03
12	0.6331	0.6264	0.0067	0.7500	0.7059	0.6466	1.00e-03
13	0.7023	0.6956	0.0067	0.7500	0.7059	0.6435	1.00e-03
14	0.8066	0.7995	0.0072	0.7500	0.7059	0.6454	1.00e-03
15	0.5755	0.5705	0.0050	0.7500	0.7059	0.6299	1.00e-03
16	0.5937	0.5884	0.0053	0.7500	0.7059	0.6261	1.00e-03
17	0.5175	0.5122	0.0053	0.7500	0.7059	0.6188	1.00e-03
18	0.6026	0.5978	0.0048	0.7500	0.7059	0.6099	1.00e-03
19	0.5919	0.5862	0.0057	0.7500	0.7059	0.6059	1.00e-03
20	0.6712	0.6634	0.0078	0.7500	0.7059	0.6057	1.00e-03
21	0.4712	0.4649	0.0063	0.7500	0.7059	0.5936	1.00e-03
22	0.4995	0.4917	0.0078	0.7500	0.7059	0.5858	1.00e-03
23	0.5458	0.5349	0.0109	0.7500	0.7059	0.5702	1.00e-03
24	0.6430	0.6330	0.0100	0.7500	0.7059	0.5660	1.00e-03
25	0.4868	0.4795	0.0073	0.7500	0.7059	0.5500	1.00e-03
26	0.6518	0.6431	0.0087	0.7500	0.7059	0.5402	1.00e-03
27	0.6580	0.6483	0.0097	0.7500	0.7059	0.5278	1.00e-03
28	0.6710	0.6599	0.0111	0.7500	0.7059	0.5172	1.00e-03
29	0.6569	0.6468	0.0101	0.7500	0.7059	0.5084	1.00e-03
30	0.4405	0.4308	0.0097	0.7500	0.7059	0.5021	1.00e-03
31	0.8626	0.8481	0.0145	0.7656	0.7059	0.4855	1.00e-03
32	0.5875	0.5811	0.0064	0.7656	0.7059	0.4801	1.00e-03
33	0.4699	0.4640	0.0059	0.7812	0.7059	0.4721	1.00e-03
34	0.4242	0.4151	0.0091	0.7812	0.6471	0.4587	1.00e-03
35	0.5283	0.5197	0.0086	0.7969	0.6471	0.4496	1.00e-03
36	0.4433	0.4370	0.0063	0.7812	0.6471	0.4394	1.00e-03
37	0.4203	0.4071	0.0132	0.7812	0.6471	0.4284	1.00e-03
38	0.3786	0.3703	0.0083	0.7969	0.6471	0.4219	1.00e-03
39	0.4260	0.4174	0.0086	0.7656	0.7647	0.4124	1.00e-03
40	0.4831	0.4735	0.0096	0.7656	0.8235	0.4034	1.00e-03
41	0.5877	0.5796	0.0081	0.7656	0.8235	0.4033	1.00e-03
42	0.4453	0.4407	0.0046	0.7656	0.8235	0.4008	1.00e-03
43	0.4798	0.4722	0.0076	0.8125	0.8235	0.3917	1.00e-03
44	0.4800	0.4714	0.0086	0.8125	0.8235	0.3907	1.00e-03
45	0.3810	0.3762	0.0048	0.8125	0.8235	0.3834	1.00e-03
46	0.4556	0.4475	0.0080	0.8125	0.8235	0.3798	1.00e-03
47	0.4947	0.4873	0.0073	0.8125	0.8235	0.3750	1.00e-03
48	0.5487	0.5403	0.0084	0.8125	0.8235	0.3729	1.00e-03
49	0.3406	0.3353	0.0053	0.8125	0.8235	0.3743	1.00e-03
50	0.3622	0.3551	0.0071	0.8125	0.8235	0.3679	1.00e-03
