Epoch	TrainLoss	SupLoss	ConsisLoss	TrainAcc	ValAcc	ValLoss	LR
1	3.9997	2.4370	1.5627	0.0000	0.0000	7.6275	1.00e-03
2	2.6581	1.5663	1.0918	0.0000	0.0000	7.2307	1.00e-03
3	1.9230	1.0546	0.8683	0.0312	0.0588	4.6695	1.00e-03
4	1.1258	0.6726	0.4532	0.7500	0.7059	1.0899	1.00e-03
5	0.9430	0.7915	0.1515	0.7500	0.7059	0.7439	1.00e-03
6	0.6538	0.5924	0.0614	0.7500	0.7059	0.7123	1.00e-03
7	0.6603	0.6303	0.0301	0.7500	0.7059	0.6917	1.00e-03
8	0.6407	0.6210	0.0197	0.7500	0.7059	0.6745	1.00e-03
9	0.6485	0.6360	0.0124	0.7500	0.7059	0.6655	1.00e-03
10	0.6330	0.6210	0.0120	0.7500	0.7059	0.6547	1.00e-03
11	0.6037	0.5939	0.0098	0.7500	0.7059	0.6481	1.00e-03
12	0.8300	0.8217	0.0083	0.7500	0.7059	0.6537	1.00e-03
13	0.6263	0.6207	0.0056	0.7500	0.7059	0.6512	1.00e-03
14	0.7322	0.7246	0.0077	0.7500	0.7059	0.6481	1.00e-03
15	0.5636	0.5569	0.0067	0.7500	0.7059	0.6394	1.00e-03
16	0.6380	0.6333	0.0047	0.7500	0.7059	0.6318	1.00e-03
17	0.6355	0.6292	0.0062	0.7500	0.7059	0.6246	1.00e-03
18	0.6654	0.6601	0.0054	0.7500	0.7059	0.6222	1.00e-03
19	0.7825	0.7749	0.0076	0.7500	0.7059	0.6268	1.00e-03
20	0.6422	0.6349	0.0073	0.7500	0.7059	0.6217	1.00e-03
21	0.6116	0.6053	0.0063	0.7500	0.7059	0.6222	1.00e-03
22	0.6657	0.6616	0.0041	0.7500	0.7059	0.6154	1.00e-03
23	0.5535	0.5487	0.0048	0.7500	0.7059	0.6092	1.00e-03
24	0.7533	0.7480	0.0053	0.7500	0.7059	0.6042	1.00e-03
25	0.7069	0.7012	0.0057	0.7500	0.7059	0.5969	1.00e-03
26	0.4956	0.4897	0.0059	0.7500	0.7059	0.5832	1.00e-03
27	0.4363	0.4256	0.0108	0.7500	0.7059	0.5638	1.00e-03
28	0.4843	0.4755	0.0088	0.7500	0.7059	0.5484	1.00e-03
29	0.5072	0.4954	0.0118	0.7500	0.7059	0.5337	1.00e-03
30	0.5889	0.5780	0.0109	0.7500	0.7059	0.5196	1.00e-03
31	0.4948	0.4873	0.0074	0.7500	0.7059	0.5110	1.00e-03
32	0.5449	0.5348	0.0100	0.7500	0.7059	0.5053	1.00e-03
33	0.5060	0.4978	0.0082	0.7500	0.7059	0.4884	1.00e-03
34	0.5080	0.5010	0.0070	0.7500	0.7059	0.4755	1.00e-03
35	0.4370	0.4284	0.0087	0.7656	0.7059	0.4606	1.00e-03
36	0.5008	0.4934	0.0074	0.7812	0.7059	0.4538	1.00e-03
37	0.4746	0.4683	0.0062	0.8125	0.7059	0.4464	1.00e-03
38	0.4300	0.4167	0.0133	0.8125	0.7059	0.4329	1.00e-03
39	0.5168	0.5087	0.0081	0.7969	0.7059	0.4264	1.00e-03
40	0.4103	0.4051	0.0051	0.7656	0.7059	0.4201	1.00e-03
41	0.4134	0.4065	0.0069	0.7812	0.7059	0.4203	1.00e-03
42	0.4043	0.3983	0.0061	0.7969	0.7059	0.4167	1.00e-03
43	0.4444	0.4379	0.0066	0.8125	0.7647	0.4081	1.00e-03
44	0.4634	0.4549	0.0086	0.8281	0.7647	0.4048	1.00e-03
45	0.6511	0.6391	0.0119	0.7969	0.7059	0.4176	1.00e-03
46	0.4691	0.4624	0.0067	0.7969	0.7059	0.4233	1.00e-03
47	0.4029	0.3952	0.0077	0.7969	0.7059	0.4217	1.00e-03
48	0.5046	0.4657	0.0388	0.8125	0.7059	0.4134	1.00e-03
49	0.5231	0.5189	0.0042	0.8125	0.7059	0.4355	1.00e-03
50	0.5726	0.5667	0.0060	0.7500	0.7059	0.4552	1.00e-03
