video_path,label
patch_138,0
patch_6,0
patch_25,0
patch_203,0
patch_232,0
patch_161,0
patch_60,0
patch_151,0
patch_291,0
patch_5,0
patch_173,0
patch_42,0
patch_54,0
patch_209,0
patch_165,0
patch_193,0
patch_87,0
patch_227,0
patch_137,0
patch_200,0
patch_295,0
patch_253,0
patch_199,0
patch_112,1
patch_190,0
patch_177,0
patch_122,0
patch_27,0
patch_13,0
patch_164,0
patch_246,0
patch_24,0
patch_120,0
patch_65,0
patch_155,0
patch_146,0
patch_218,1
patch_171,0
patch_141,0
patch_86,0
patch_100,0
patch_91,0
patch_243,0
patch_104,0
patch_196,0
patch_280,0
patch_259,0
patch_195,0
patch_147,0
patch_219,0
patch_128,0
patch_23,0
patch_67,0
patch_130,0
